"Author_Abbrev","Title_Abbrev","Authors","Latin_Title","Modern_Title"
"Lucian","Salt.","Lucian","De saltatione","On Dancing"
"Lucian","Somn.","Lucian","Somnium","Sleep"
"Lucian","Symp.","Lucian","Symposium","Symposium"
"Lucian","Syr. D.","Lucian","De Syria dea","On the Syrian Goddess"
"Lucian","Trag.","Lucian","Tragoedopodagra"
"Lucian","Ver. hist.","Lucian","Verae historiae, 1, 2","True Histories"
"Lucian","Vit. auct.","Lucian","Vitarum auctio","Philosophies for Sale"
"Lucil.","Epon.","Lucilius","Eponymous"
"Lucr.","Epon.","Lucretius","Eponymous"
"Luke","Acts","Luke","Acts of the Apostles"
"Luke","Lk.","Luke","Luke"
"Lycoph.","Alex.","Lycophron","Alexandra","Alexandra"
"Lydus","Mag.","Lydus","De magistratibus","On Magistrates"
"Lydus","Mens.","Lydus","De mensibus","On Months"
"Lys.","Epon.","Lysias","Eponymous"
"M. Aur.","Med.","Marcus Aurelius","Meditations","Meditations"
"Macrob.","In Somn.","Macrobius","Commentarius ex Cicerone in Somnium Scipionis","Commentary on the dream of Scipio from Cicero"
"Macrob.","Sat.","Macrobius","Saturnalia","Saturnalia"
"Marcellin.","Epon.","Marcellinus","Eponymous"
"Mart.","Spect.","Martial","Spectacula","Spectacles"
"Mart. Cap.","Epon.","Martianus Capella","Eponymous"
"Mel.","Steph.","Meleager","Stephanus","Garland"
"Men.","Dys.","Menander","Dyskolos","Old Cantankerous"
"Men.","Epit.","Menander","Epitrepontes","Arbitration"
"Men.","Her.","Menander","Heros","Hero"
"Men.","Pk.","Menander","Perikeiromene","Rape of the Locks"
"Men.","Sam.","Menander","Samia","The Girl from Samos"
"Men. Rhet.","Epon.","Menander Rhetor","Eponymous"
"Min. Fel.","Oct.","Minucius Felix","Octavius","Octavius"
"Muson.","Epon.","Musonius Rufus","Eponymous"
"Nemes.","Cyn.","Nemesianus","Cynegetica","Hunting"
"Nemes.","Ecl.","Nemesianus","Eclogae","Eclogues"
"Nep.","Att.","Nepos","Atticus","Atticus"
"Nep.","Epam.","Nepos","Epaminondas","Epaminondas"
"Nep.","Milt.","Nepos","Miltiades","Miltiades"
"Nep.","Timoth.","Nepos","Timotheus","Timotheus"
"Nic.","Alex.","Nicander","Alexipharmaca","Antidotes"
"Nic.","Ther.","Nicander","Theriaca","Theriaca"
"Numen.","Epon.","Numenius","Eponymous"
"Origen","C. Cels.","Origen","Contra Celsum","Against Celsus"
"Oros.","Epon.","Orosius","Eponymous"
"Orph.","Lith.","Orphica","Lithica","Stones"
"Ov.","Am.","Ovid","Amores","The Loves"
"Ov.","Ars am.","Ovid","Ars amatoria","The Art of Love"
"Ov.","Fast.","Ovid","Fasti","Fasti"
"Ov.","Hal.","Ovid","Halieuticon liber","Book of Fishing"
"Ov.","Her.","Ovid","Heroides","Heroines"
"Ov.","Ib.","Ovid","Ibis","Ibis"
"Ov.","Medic.","Ovid","Medicamina faciei","Cosmetics for the Face"
"Ov.","Met.","Ovid","Metamorphoses","Metamorphoses"
"Ov.","Pont.","Ovid","Epistulae ex Ponto","Letters from Pontus"
"Ov.","Rem. am.","Ovid","Remedia amoris","Remedies for Love"
"Ov.","Tr.","Ovid","Tristia","Sorrows"
"Parth.","Amat. narr.","Parthenius","Narrationum amatoriarum libellus","Book of Love Stories"
"Paul","1 Cor.","Paul","1 Corinthians"
"Paul","1 Thess.","Paul","1 Thessalonians","1 Thessalonians"
"Paul","1 Tm.","Paul","1 Timothy"
"Paul","2 Cor.","Paul","2 Corinthians"
"Paul","2 Thess.","Paul","2 Thessalonians"
"Paul","2 Tm.","Paul","2 Timothy"
"Paul","Col.","Paul","Colossians"
"Paul","Ephesians","Paul","Ephesians"
"Paul","Galatians","Paul","Galatians"
"Paul","Phil.","Paul","Phillipians"
"Paul","Philemon","Paul","Philemon"
"Paul","Romans","Paul","Romans"
"Paul","Ti.","Paul","Titus"
"Paul. Fest.","Gloss. Lat.","Festus","Glossaria Latina","Latin Glossary"
"Paulus","Sent.","Iulius Paulus","Sententiae","Opinions"
"Paus.","Epon.","Pausanias","Eponymous"
"Pers.","Epon.","Persius","Eponymous"
"Peter","1 Pt.","Peter","1 Peter"
"Peter","2 Pt.","Peter","2 Peter"
"Petron.","Sat.","Petronius","Satyrica","Satyricon"
"Pherec.","Epon.","Pherecydes","Eponymous"
"Philo","CW","Philo Judaeus","Edition of Philo Judaeus by L. Cohn and P. Wendland"
"Philo","In Flacc.","Philo Judaeus","In Flaccum","Against Flaccus"
"Philo","Leg.","Philo Judaeus","Legatio ad Gaium","Embassy to Gaius"
"Philoch.","Epon.","Philochorus","Eponymous"
"Philostr.","Her.","Philostratus","Heroicus","Hero"
"Philostr.","Imag.","Philostratus","Imagines","Essays in Portraiture"
"Philostr.","V A","Philostratus","Vita Apollonii","Life of Apollonius"
"Philostr.","V S","Philostratus","Vita sophistarum","Lives of the Sophists"
"Phld.","Epon.","Philodemus","Eponymous"
"Phlegon","Mir.","Phlegon","Miracula","Book of Marvels"
"Phot.","Bibl.","Photius","Bibliotheca","Library"
"Pind.","Isthm.","Pindar","Isthmian Odes","Isthmian Odes"
"Pind.","Nem.","Pindar","Nemean Odes","Nemean Odes"
"Pind.","Ol.","Pindar","Olympian Odes","Olympian Odes"
"Pind.","Pae.","Pindar","Paeanes Odes","Paeanes Odes"
"Pind.","Pyth.","Pindar","Pythian Odes","Pythian Odes"
"Pl.","Alc.","Plato","Alcibiades","Alcibiades"
"Pl.","Ap.","Plato","Apologia","Apology"
"Pl.","Ax.","Plato","Axiochus","Axiochus"
"Pl.","Chrm.","Plato","Charmides","Charmides"
"Pl.","Cra.","Plato","Cratylus","Cratylus"
"Pl.","Cri.","Plato","Crito","Crito"
"Pl.","Criti.","Plato","Critias","Critias"
"Pl.","Epin.","Plato","Epinomis","Epinomis"
"Pl.","Euthphr.","Plato","Euthyphro","Euthyphro"
"Pl.","Grg.","Plato","Gorgias","Gorgias"
"Pl.","Hipparch.","Plato","Hipparchus","Hipparchus"
"Pl.","Hp. mai.","Plato","Hippias maior","Hippias the Elder"
"Pl.","Hp. mi.","Plato","Hippias Minor","Hippias the Younger"
"Pl.","La. or Lach.","Plato","Laches","Laches"
"Pl.","Leg.","Plato","Leges","Laws"
"Pl.","Menex.","Plato","Menexenus","Menexenus"
"Pl.","Phd.","Plato","Phaedo","Phaedo"
"Pl.","Phdr.","Plato","Phaedrus","Phaedrus"
"Pl.","Phlb.","Plato","Philebus","Philebus"
"Pl.","Plt.","Plato","Politicus","Statesman"
"Pl.","Prm.","Plato","Parmenides","Parmenides"
"Pl.","Prt.","Plato","Protagoras","Protagoras"
"Pl.","Resp.","Plato","Respublica","Republic"
"Pl.","Soph.","Plato","Sophista","Sophist"
"Pl.","Symp.","Plato","Symposium","Symposium"
"Pl.","Tht.","Plato","Theaetetus","Theaetetus"
"Pl.","Ti.","Plato","Timaeus","Timaeus"
"Plato Com.","Epon.","Plato Comicus","Eponymous"
"Platon.","Diff. com.","Platonius","De differentia comoediarum","On Distinction among Comedies"
"Plaut.","Amph.","Plautus","Amphitruo","Amphitruo"
"Plaut.","Asin.","Plautus","Asinaria","Asinaria"
"Plaut.","Bacch.","Plautus","Bacchides","Bacchides"
"Plaut.","Capt.","Plautus","Captivi","The Captives"
"Plaut.","Cas.","Plautus","Casina","Casina"
"Plaut.","Cist.","Plautus","Cistellaria","The Casket Comedy"
"Plaut.","Curc.","Plautus","Curculio","The Weevil"
"Plaut.","Men.","Plautus","Menaechmi","The Brothers Menaechmi"
"Plaut.","Merc.","Plautus","Mercator","The Merchant"
"Plaut.","Mil.","Plautus","Miles gloriosus","The Braggart Soldier"
"Plaut.","Mostell.","Plautus","Mostellaria","The Haunted House"
"Plaut.","Poen.","Plautus","Poenulus","The Little Cartheginian"
"Plaut.","Pseud.","Plautus","Pseudolus","The Liar"
"Plaut.","Rud.","Plautus","Rudens","The Rope"
"Plaut.","Stich.","Plautus","Stichus","Stichus"
"Plaut.","Trin.","Plautus","Trinummus","Three Bob Day"
"Plin. (E)","HN","Pliny (the Elder)","Naturalis historia","Natural History"
"Plin. (Y)","Ep.","Pliny (the Younger)","Epistulae","Letters"
"Plin. (Y)","Pan.","Pliny (the Younger)","Panegyricus","Panegyric"
"Plin. (Y)","Tra.","Pliny (the Younger)","Epistulae ad Traianum","Letters to Trajan"
"Plotinus","Enn.","Plotinus","Enneades","Enneades"
"Plut.","Adv. Col.","Plutarch","Adversus Coloten","Against Colotes"
"Plut.","Aem.","Plutarch","Aemilius Paulus","Aemilius Paulus"
"Plut.","Ages.","Plutarch","Agesilaus","Agesilaus"
"Plut.","Alc.","Plutarch","Alcibiades","Alcibiades"
"Plut.","Alex.","Plutarch","Alexander","Alexander"
"Plut.","Am. narr.","Plutarch","Amatoriae narrationes","Narrations of Love"
"Plut.","Amat.","Plutarch","Amatorius","Dialogue on Love"
"Plut.","An seni","Plutarch","An seni respublica gerenda sit","Whether an Old Man Should Engage in Politics"
"Plut.","Ant.","Plutarch","Antonius","Antonius"
"Plut.","Arat.","Plutarch","Aratus","Aratus"
"Plut.","Arist.","Plutarch","Aristides","Aristides"
"Plut.","Artax.","Plutarch","Artaxerxes","Artaxerxes"
"Plut.","Brut.","Plutarch","Brutus","Brutus"
"Plut.","C. Gracch.","Plutarch","Gaius Gracchus","Gaius Gracchus"
"Plut.","Caes.","Plutarch","Caesar","Caesar"
"Plut.","Cam.","Plutarch","Camillus","Camillus"
"Plut.","Cat. Mai., Min.","Plutarch","Cato Maior, Minor","Cato the Elder/Cato the Younger"
"Plut.","Cic.","Plutarch","Cicero","Cicero"
"Plut.","Cim.","Plutarch","Cimon","Cimon"
"Plut.","Cleom.","Plutarch","Cleomenes","Cleomenes"
"Plut.","Comm. not.","Plutarch","De communibus notitiis adversus Stoicos","Against the Stoics on Common Conceptions"
"Plut.","Comp. Ar. et Men.","Plutarch","Comparatio Aristophanis et Menandri","Comparison of Aristophanes and Menander"
"Plut.","Conv. sept. sap.","Plutarch","Convivium septem sapientium","The Dinner of the Seven Wise Men"
"Plut.","Crass.","Plutarch","Crassus","Crassus"
"Plut.","De Alex. fort.","Plutarch","De fortuna Alexandri","On the Fortune of Alexander"
"Plut.","De def. or.","Plutarch","De defectu oraculorum","On the Failure of Oracles"
"Plut.","De exil.","Plutarch","De exilio","On Exile"
"Plut.","De fac.","Plutarch","De facie in orbe lunae","The Face on the Moon"
"Plut.","De fort. Rom.","Plutarch","De fortuna Romanorum","On the Fortune of the Romans"
"Plut.","De frat. amor.","Plutarch","De fraterno amore","On Brotherly Love"
"Plut.","De garr.","Plutarch","De garrulitate","On Chattering"
"Plut.","De gen.","Plutarch","De genio Socratis","On the Spirit of Socrates"
"Plut.","De glor. Ath.","Plutarch","De gloria Atheniensium","On the glory of the Athenians"
"Plut.","De Is. et Os.","Plutarch","De Iside et Osiride","On Isis and Osiris"
"Plut.","De lat. viv.","Plutarch","De latenter vivendo","On Living Secretly"
"Plut.","De mul. vir.","Plutarch","De mulierum virtutibus","On the Virtues of Women"
"Plut.","De mus","Plutarch","De musica","On Music"
"Plut.","De prof. virt.","Plutarch","De profectu in virtute","On Advancing in Virtue"
"Plut.","De Pyth or.","Plutarch","De Pythiae oraculis","On the Pythian Oracle"
"Plut.","De sera","Plutarch","De sera numinis vindicta","On the Delays of Divine Vengance"
"Plut.","De soll. an.","Plutarch","De sollertia animalium","On the Cleverness of Animals"
"Plut.","De superst.","Plutarch","De superstitione","On Superstition"
"Plut.","De tranq. anim.","Plutarch","De tranquillitate animi","On Tranquility of Spirit"
"Plut.","Dem.","Plutarch","Demosthenes","Demosthenes"
"Plut.","Demetr.","Plutarch","Demetrius","Demetrius"
"Plut.","Eum.","Plutarch","Eumenes","Eumenes"
"Plut.","Flam.","Plutarch","Flamininus","Flamininus"
"Plut.","Galb.","Plutarch","Galba","Galba"
"Plut.","Luc.","Plutarch","Lucullus","Lucullus"
"Plut.","Lyc.","Plutarch","Lycurgus","Lycurgus"
"Plut.","Lys.","Plutarch","Lysander","Lysander"
"Plut.","Mar.","Plutarch","Marius","Marius"
"Plut.","Marc.","Plutarch","Marcellus","Marcellus"
"Plut.","Mor.","Plutarch","Moralia","Moralia"
"Plut.","Nic.","Plutarch","Nicias","Nicias"
"Plut.","Num.","Plutarch","Numa","Numa"
"Plut.","Pel.","Plutarch","Pelopidas","Pelopidas"
"Plut.","Per.","Plutarch","Pericles","Pericles"
"Plut.","Phil.","Plutarch","Philopoemen","Philopoemen"
"Plut.","Phoc.","Plutarch","Phocion","Phocion"
"Plut.","Pomp.","Plutarch","Pompeius","Pompey"
"Plut.","Prae. ger. reip.","Plutarch","Praecepta gerendae reipublicae","Precepts of Statecraft"
"Plut.","Pyrrh.","Plutarch","Pyrrhus","Pyrrhus"
"Plut.","Quaest. Graec.","Plutarch","Quaestiones Graecae","Greek Questions"
"Plut.","Quaest. Plat.","Plutarch","Quaestiones Platonicae","Platonic Questions"
"Plut.","Quaest. Rom.","Plutarch","Quaestiones Romanae","Roman Questions"
"Plut.","Quest. conv.","Plutarch","Quaestiones convivales","Table Talk"
"Plut.","Quomodo adul.","Plutarch","Quomodo adulescens poetas audire debeat","Why Young Men ought to Hear Poetry"
"Plut.","Rom.","Plutarch","Romulus","Romulus"
"Plut.","Sert.","Plutarch","Sertorius","Sertorius"
"Plut.","Sol.","Plutarch","Solon","Solon"
"Plut.","Sull.","Plutarch","Sulla","Sulla"
"Plut.","Them.","Plutarch","Themistocles","Themistocles"
"Plut.","Thes.","Plutarch","Theseus","Theseus"
"Plut.","Ti. Gracch.","Plutarch","Tiberius Gracchus","Tiberius Gracchus"
"Plut.","Tim.","Plutarch","Timoleon","Timoleon"
"Plut.","Vit.","Plutarch","Vitae Parallelae","Parallel Lives"
"Poll.","Onom.","Pollux","Onomasticon","Poetics"
"Polyaenus","Strat.","Polyaenus","Strategemata","Strategems"
"Polyb.","Epon.","Polybius","Eponymous"
"Pompon.","Epon.","Pomponius","Eponymous"
"Porph.","Abst.","Porphyry","De abstinentia","On Abstinence"
"Porph.","De antr. nymph.","Porphyry","De antro nympharum","On the Cave of the Nymphs"
"Porph.","Plot.","Porphyry","Vita plotini","Life of Plotinus"
"Procl.","Hypotyp.","Proclus","Hypotyposis","An Outline"
"Procl.","In R.","Proclus","In Platonis Rempublicam commentarii","Commentary on Plato's Republic"
"Procl.","In Ti.","Proclus","In Platonis Timaeum commentarii","Commentary on Plato's Timaeus"
"Procop.","Aed.","Procopius","De aedificiis","On Buildings"
"Procop.","Goth.","Procopius","De bello Gothico","On the Gothic War"
"Procop.","Vand.","Procopius","De bello Vandalico","On the war with the Vandals"
"Prop.","Epon.","Propertius","Eponymous"
"Prudent","C. Symm.","Prudentius","Contra Symmachum","Against Symmachus"
"Prudent","Cath.","Prudentius","Cathemerina","Hymns for the day"
"Prudent","Perist.","Prudentius","Peristephanon","Crowns of the Martyrs"
"Ptol.","Alm.","Ptolemaeus mathematicus","Almagest","Almagest"
"Ptol.","Geog.","Ptolemaeus mathematicus","Geographia","Geography"
"Ptol.","Harm.","Ptolemaeus mathematicus","Harmonica","Harmonics"
"Ptol.","Tetr.","Ptolemaeus mathematicus","Tetrabiblos","Four Books"
"Quint.","Ep. ad Tryph.","Quintillian","Epistula ad Tryphonem","Letter to Tryphon"
"Quint.","Inst.","Quintillian","Institutio oratoria","Training in Oratory"
"Quint. Smyrn.","Epon.","Auintus Smyrnaeus","Eponymous"
"Rut. Namat.","??","Rutilius Namatianus","De reditu","On Returning"
"Sall.","Ad Caes. sen.","Sallust","Epistulae ad Caesarem senem","Letters to the Elderly Caesar"
"Sall.","Cat.","Sallust","Bellum Catilinae or De Catilinae coniuratione","War with Catiline/On the Catilinarian Conspiracy"
"Sall.","Hist.","Sallust","Historiae","The Histories"
"Sall.","Iug.","Sallust","Bellum Iugurthinum","Jugurthine War"
"Satyr.","Vit. Eur.","Satyrus Historicus","Vita Euripidis","Life of Euripides"
"Scymn.","Epon.","Scymnus","Eponymous"
"Semon.","Epon.","Semonides","Eponymous"
"Sen. (E)","Con. ex.","Seneca (the Elder)","Controversiarum excerpta","Excerpts from Disputes"
"Sen. (E)","Controv.","Seneca (the Elder)","Controversiae","Disputes"
"Sen. (E)","Suas.","Seneca (the Elder)","Suasoriae","Persuasive Discourses"
"Sen. (Y)","Apocol.","Seneca (the Younger)","Apocolocyntosis","Apocolocyntosis"
"Sen. (Y)","Ben.","Seneca (the Younger)","De beneficiis","On Kindness"
"Sen. (Y)","Clem.","Seneca (the Younger)","De clementia","On Clemency"
"Sen. (Y)","Constant.","Seneca (the Younger)","De constantia sapientis","On the Constancy of Wisdom"
"Sen. (Y)","Dial.","Seneca (the Younger)","Dialogi","Dialogues"
"Sen. (Y)","Ep.","Seneca (the Younger)","Epistulae","Letters"
"Sen. (Y)","Epigr.","Seneca (the Younger)","Epigrammata super exilio","Epigrams Concerning Exile"
"Sen. (Y)","Helv.","Seneca (the Younger)","Ad Helviam","To Helvia"
"Sen. (Y)","Med.","Seneca (the Younger)","Medea","Medea"
"Sen. (Y)","Prov.","Seneca (the Younger)","De providentia","On Providence"
"Sen. (Y)","Q Nat.","Seneca (the Younger)","Quaestiones naturales","Natural Questions"
"Sen. (Y)","Tranq.","Seneca (the Younger)","De tranquillitate animi","On Tranquility of Spirit"
"Serv.","Praef.","Servius","Praefatio","Preface"
"Sext. Emp.","Math.","Sextus Empiricus","Adversus Mathematicus","Against the Professors"
"SHA","Ael.","Scriptores Historiae Augustae","Aelius","Aelius"
"SHA","Alex. Sev.","Scriptores Historiae Augustae","Alexander Severus","Alexander Severus"
"SHA","Ant. Pius","Scriptores Historiae Augustae","Antoninus Pius","Antoninus Pius"
"SHA","Aurel.","Scriptores Historiae Augustae","Aurelian","Aurelian"
"SHA","Avid. Cass.","Scriptores Historiae Augustae","Avidius Cassius","Avidius Cassius"
"SHA","Clod.","Scriptores Historiae Augustae","Clodius","Clodius"
"SHA","Comm.","Scriptores Historiae Augustae","Commodus","Commodus"
"SHA","Did. Iul.","Scriptores Historiae Augustae","Didius Iulianus","Didius Iulianus"
"SHA","Hadr.","Scriptores Historiae Augustae","Hadrian","Hadrian"
"SHA","Heliogab.","Scriptores Historiae Augustae","Heliogabalus","Heliogabalus"
"SHA","M. Ant.","Scriptores Historiae Augustae","Marcus Aurelius Antoninus (Caracalla)","Marcus Aurelius Antoninus (Caracalla)"
"SHA","Marc.","Scriptores Historiae Augustae","Marcus","Marcus"
"SHA","Max.","Scriptores Historiae Augustae","Maximinus","Maximinus"
"SHA","Pert.","Scriptores Historiae Augustae","Pertinax","Pertinax"
"SHA","Pesc. Nig.","Scriptores Historiae Augustae","Pescennius Niger","Pescennius Niger"
"SHA","Prob.","Scriptores Historiae Augustae","Probus","Probus"
"SHA","Sev.","Scriptores Historiae Augustae","Severus","Severus"
"SHA","Tyr. Trig.","Scriptores Historiae Augustae","Tyranni Triginta","The Thirty Tyrants"
"SHA","Verus","Scriptores Historiae Augustae","Lucius Verus","Lucius Verus"
"Sid. Apoll.","Carm.","Sidonius Apollinaris","Carmina","Songs"
"Sid. Apoll.","Epist.","Sidonius Apollinaris","Epistulae","Letters"
"Sil.","Pun.","Silius Italicus","Punica","On the Punic Wars"
"Simon.","Epon.","Simonides","Eponymous"
"Simpl.","in Cael.","Simplicius","in Aristotelis de Caelo Commentarii","Commentary on Aristotle's De Caelo"
"Simpl.","in Phys.","Simplicius","In Aristotelis de Physica Commentarii","Commentary on Aristotle's De Physica"
"Socrates","Hist. eccl.","Socrates","Historia ecclesiastica","Church History"
"Solin.","Epon.","Solinus","Eponymous"
"Soph.","Aj.","Sophocles","Ajax","Ajax"
"Soph.","Ant.","Sophocles","Antigone","Antigone"
"Soph.","El.","Sophocles","Electra","Electra"
"Soph.","OC","Sophocles","Oedipus Coloneus","Oedipus at Colonus"
"Soph.","OT","Sophocles","Oedipus Tyrannus","Oedipus the King"
"Soph.","Phil.","Sophocles","Philoctetes","Philoctetes"
"Soph.","Trach.","Sophocles","Trachiniae","Trachiniae"
"Sor.","Gyn.","Soranus","Gynaeceia","Gynecology"
"Sozom.","Hist. eccl.","Sozomen","Historia ecclesiastica","Church History"
"Stat.","Achil.","Statius","Achilleis","Achilleid"
"Stat.","Silv.","Statius","Silvae","Silvae"
"Stat.","Theb.","Statius","Thebais","Thebaid"
"Steph. Byz.","Epon.","Stephanus Byzantius or Byzantinus","Eponymous"
"Strabo","Epon.","Strabo","Eponymous"
"Suet.","Aug.","Suetonius","Divus Augustus","Divine Augustus"
"Suet.","Calig.","Suetonius","Gaius Caligula","Gaius Caligula"
"Suet.","Claud.","Suetonius","Divus Claudius","Divine Claudius"
"Suet.","Dom.","Suetonius","Domitianus","Domitian"
"Suet.","Galb.","Suetonius","Galba","Galba"
"Suet.","Gram.","Suetonius","De grammaticis","On Grammarians"
"Suet.","Iul.","Suetonius","Divus Iulius","Divine Julius"
"Suet.","Ner.","Suetonius","Nero","Nero"
"Suet.","Poet.","Suetonius","De Poetis","On Poets"
"Suet.","Rel.","Suetonius","Reliquiae","Fragments"
"Suet.","Rhet.","Suetonius","De rhetoribus","On Rhetoricians"
"Suet.","Tib.","Suetonius","Tiberius","Tiberius"
"Suet.","Tit.","Suetonius","Divus Titus","Divine Titus"
"Suet.","Vesp.","Suetonius","Divus Vespasianus","Divine Vespasian"
"Suet.","Vit.","Suetonius","Vitellius","Vitellius"
"Suet.","Vita Hor.","Suetonius","Vita Horatii","Life of Horatio"
"Suet.","Vita Luc.","Suetonius","Vita Lucani","Life of Lucan"
"Symmachus","Ep.","Symmachus","Epistulae","Letters"
"Symmachus","Relat.","Symmachus","Relationes","Reports"
"Tac.","Agr.","Tacitus","Agricola","Agricola"
"Tac.","Ann.","Tacitus","Annales"," Annals"
"Tac.","Dial.","Tacitus","Dialogus de oratoribus","Dialogues of the Orators"
"Tac.","Germ.","Tacitus","Germania","Germany"
"Tac.","Hist.","Tacitus","Historiae","The Histories"
"Tatianus","Ad Gr.","Tatianus","Oratio ad Graecos","Oration to the Greeks"
"Ter.","Ad.","Terence","Adelphoe","The Brothers"
"Ter.","An.","Terence","Andria","The Girl from Andros"
"Ter.","Eun.","Terence","Eunuchus","The Eunuch"
"Ter.","Haut.","Terence","H(e)autontimorumenos","The Self-Tormentor"
"Ter.","Hec.","Terence","Hecyra","The Mother-In-Law"
"Ter.","Phorm.","Terence","Phormio","Phormio"
"Tert.","Ad nat.","Tertullian","Ad nationes","To Nations"
"Tert.","Adv. Valent.","Tertullian","Adversus Valentinianos","Against Valentinian"
"Tert.","Apol.","Tertullian","Apologecticus","Apology"
"Tert.","De anim.","Tertullian","De testimonio animate","On the Testimony of Living"
"Tert.","De bapt.","Tertullian","De baptismo","On Baptism"
"Tert.","De monog.","Tertullian","De monogamia","On Monogamy"
"Tert.","De praescr. haeret.","Tertullian","De praescriptione haereticorum","Treatise on the presecriptions of Heretics"
"Tert.","De spect.","Tertullian","De spectaculis","On Spectacles"
"Them.","Or.","Themistius","Orationes","Orations"
"Theoc.","Epigr.","Theocritus","Epigrammata","Epigrams"
"Theoc.","Id.","Theocritus","Idylls","Idylls"
"Theoph.","Ad Autol.","Theophilus","Ad Autolycum","To Autolycus"
"Theophr.","Caus. pl.","Theophrastus","De causis plantarum","On Plants"
"Theophr.","Char.","Theophrastus","Characteres","Characters"
"Theophr.","Hist. pl.","Theophrastus","Historia plantarum","History of Plants"
"Theophr.","Phys. op.","Theophrastus","Physicorum opiniones","Opinions of Physics"
"Theophr.","Sens.","Theophrastus","De sensibus","On the Senses"
"Theopomp.","Epon.","Theopompus Historicus","Eponymous"
"Thgn.","Epon.","Theognis","Eponymous"
"Thuc.","Epon.","Thucydides","Eponymous"
"Tib.","Epon.","Tibullus","Eponymous"
"Timoth.","Pers.","Timotheus","Persae","Persians"
"Tzetz.","Chil.","Tzetzes","Historiarum variarum Chiliades"
"Ulp.","Epon.","Ulpianus","Eponymous"
"Val. Max.","Epon.","Valerius Maximus","Eponymous"
"Varro","Ling.","Varro","De lingua Latina","On the Latin Language"
"Varro","Rust.","Varro","De re rustica","On Rustic Affairs"
"Varro","Sat. Men.","Varro","Saturae Menippeae","Menippean Satires"
"Vatin.","Epon.","Vatinius","Eponymous"
"Veg.","Mil.","Vegetius","De re militari","On Military Affairs"
"Vell. Pat.","Epon.","Velleius Paterculus","Eponymous"
"Verg.","Aen.","Virgil","Aeneid","Aeneid"
"Verg.","Catal.","Virgil","Catalepton","Catalepton"
"Verg.","Ecl.","Virgil","Eclogues","Eclogues"
"Verg.","G.","Virgil","Georgics","Georgics"
"Vett. Val.","Epon.","Vettius Valens","Eponymous"
"Vitr.","De arch.","Vitruvius","De architectura","On Architecture"
"Vopiscus","Cyn.","Vopiscus","Cynegetica","Hunting"
"Xen.","Ages.","Xenophon","Agesilaus","Agesilaus"
"Xen.","An.","Xenophon","Anabasis","Anabasis"
"Xen.","Ap.","Xenophon","Apologia Socratis","Apology of Socrates"
"Xen.","Ath. pol.","Xenophon","Respublica Atheniensium","Constitution of the Athenians"
"Xen.","Cyn.","Xenophon","Cynegeticus","Hunting"
"Xen.","Cyr.","Xenophon","Cyropaedia","The Education of Cyrus"
"Xen.","Eq.","Xenophon","De equitandi ratione","On the Art of Horsemanship"
"Xen.","Eq. mag.","Xenophon","De equitum magistro","On the Cavalry Commander"
"Xen.","Hell.","Xenophon","Hellenica","Hellenica"
"Xen.","Hier.","Xenophon","Hiero","Hiero"
"Xen.","Lac.","Xenophon","Respublica Lacedaemoniorum","The Constitution of the Lacedaemonians"
"Xen.","Mem.","Xenophon","Memorabilia","Remarkable Things"
"Xen.","Oec.","Xenophon","Oeconomicus","Economics"
"Xen.","Symp.","Xenophon","Symposium","Symposium"
"Xen.","Vect.","Xenophon","De vectigalibus","On Taxes"
"Zen.","Epon.","Zenobius","Eponymous"
"Zonar.","Epon.","Zonaras","Eponymous"
"Zos.","Epon.","Zosimus","Eponymous"
